DATElme;Official Ask LME
09/04/2020;4963,5
14/04/2020;5119
15/04/2020;5054,5
16/04/2020;5098,5
17/04/2020;5175,5
20/04/2020;5169,5
21/04/2020;4994,5
22/04/2020;5034
23/04/2020;5120,5
24/04/2020;5118
27/04/2020;5165,5
28/04/2020;5169,5
29/04/2020;5184
30/04/2020;5231
01/05/2020;5061
04/05/2020;5058
05/05/2020;5111,5
06/05/2020;5199,5
07/05/2020;5227,5
11/05/2020;5231
12/05/2020;5234
13/05/2020;5212,5
14/05/2020;5155,5
15/05/2020;5165
18/05/2020;5249,5
19/05/2020;5314
20/05/2020;5333
21/05/2020;5387
22/05/2020;5242,5
26/05/2020;5341,5
27/05/2020;5308,5
28/05/2020;5278,5
29/05/2020;5332,5
01/06/2020;5376,5
02/06/2020;5463
03/06/2020;5499
04/06/2020;5452,5
05/06/2020;5588
08/06/2020;5659
09/06/2020;5680,5
10/06/2020;5801
11/06/2020;5801,5
12/06/2020;5785,5
15/06/2020;5646
16/06/2020;5759,5
17/06/2020;5734
18/06/2020;5799
19/06/2020;5835,5
22/06/2020;5825
23/06/2020;5895
24/06/2020;5871
25/06/2020;5880,5
26/06/2020;5985,5
29/06/2020;5957
30/06/2020;6038
01/07/2020;6016,5
02/07/2020;6080
03/07/2020;6022,5
06/07/2020;6112
07/07/2020;6086
08/07/2020;6194
09/07/2020;6339,5
10/07/2020;6322,5
13/07/2020;6545
14/07/2020;6489,5
15/07/2020;6507
16/07/2020;6385
17/07/2020;6454,5
20/07/2020;6416,5
21/07/2020;6513
22/07/2020;6527
23/07/2020;6533,5
24/07/2020;6412,5
27/07/2020;6425,5
28/07/2020;6399,5
29/07/2020;6475
30/07/2020;6433,5
31/07/2020;6446,5
03/08/2020;6441
04/08/2020;6440
05/08/2020;6525,5
06/08/2020;6453,5
07/08/2020;6437
10/08/2020;6363
11/08/2020;6356,5
12/08/2020;6379
13/08/2020;6380
14/08/2020;6342,5
17/08/2020;6439,5
18/08/2020;6492,5
19/08/2020;6667
20/08/2020;6594,5
21/08/2020;6564,5
24/08/2020;6579,5
25/08/2020;6544,5
26/08/2020;6603,5
27/08/2020;6602,5
28/08/2020;6728
01/09/2020;6788,5
02/09/2020;6719
03/09/2020;6613
04/09/2020;6678
07/09/2020;6790,5
08/09/2020;6767,5
09/09/2020;6709
10/09/2020;6710,5
11/09/2020;6757,5
14/09/2020;6788
15/09/2020;6813,5
16/09/2020;6776
17/09/2020;6761
18/09/2020;6833,5
21/09/2020;6837
22/09/2020;6810
23/09/2020;6725,5
24/09/2020;6538,5
25/09/2020;6529
28/09/2020;6571,5
29/09/2020;6546
30/09/2020;6610
01/10/2020;6614
02/10/2020;6409,5
05/10/2020;6507,5
06/10/2020;6509
07/10/2020;6525
08/10/2020;6611,5
09/10/2020;6740,5
12/10/2020;6769
13/10/2020;6699,5
14/10/2020;6702
15/10/2020;6683,5
16/10/2020;6728
19/10/2020;6755
20/10/2020;6814
21/10/2020;6953
22/10/2020;6886
23/10/2020;6879,5
26/10/2020;6806
27/10/2020;6787,5
28/10/2020;6694,5
29/10/2020;6692
30/10/2020;6694,5
02/11/2020;6712,5
03/11/2020;6791,5
04/11/2020;6748
05/11/2020;6798
06/11/2020;6938,5
09/11/2020;7034
10/11/2020;6865,5
11/11/2020;6912,5
12/11/2020;6904
13/11/2020;6926
16/11/2020;7113
17/11/2020;7050
18/11/2020;7083
19/11/2020;7028
20/11/2020;7178,5
23/11/2020;7215,5
24/11/2020;7302
25/11/2020;7238,5
26/11/2020;7356,5
27/11/2020;7462
30/11/2020;7674,5
01/12/2020;7644
02/12/2020;7616,5
03/12/2020;7679
04/12/2020;7741,5
07/12/2020;7656,5
08/12/2020;7635
