"Date","Price","Open","High","Low","Vol.","Change %","Change.."
"01/06/2021",19.635,19.899,19.9977,19.5986,NA,NA,"-1.22%"
"01/05/2021",19.878,19.9755,20.1174,19.8022,NA,NA,"-0.38%"
"01/04/2021",19.953,19.8948,19.9988,19.7086,NA,NA,"0.39%"
"01/01/2021",19.875,19.8885,19.9053,19.8639,NA,NA,"0.02%"
"12/31/2020",19.871,19.908,19.97,19.8314,NA,NA,"-0.10%"
"12/30/2020",19.89,19.9065,20.0506,19.8039,NA,NA,"0.00%"
"12/29/2020",19.89,20.016,20.075,19.8582,NA,NA,"-0.55%"
"12/28/2020",20.001,19.9263,20.1283,19.8298,NA,NA,"0.73%"
"12/25/2020",19.8561,19.886,19.9131,19.8525,NA,NA,"0.00%"
"12/24/2020",19.857,20.0632,20.0797,19.8277,NA,NA,"-0.96%"
"12/23/2020",20.0491,20.1395,20.2133,20.0038,NA,NA,"-0.41%"
"12/22/2020",20.1311,19.952,20.1925,19.9403,NA,NA,"0.95%"
"12/21/2020",19.941,19.96,20.6625,19.8873,NA,NA,"0.03%"
"12/18/2020",19.9355,19.819,20.0471,19.7861,NA,NA,"0.71%"
"12/17/2020",19.794,19.8485,19.8974,19.7257,NA,NA,"-0.15%"
"12/16/2020",19.824,19.9055,20.0076,19.8075,NA,NA,"-0.32%"
"12/15/2020",19.888,20.2425,20.2621,19.8878,NA,NA,"-1.74%"
"12/14/2020",20.2412,20.1165,20.2549,19.9904,NA,NA,"0.53%"
"12/11/2020",20.1351,20.0125,20.2008,19.9476,NA,NA,"0.70%"
"12/10/2020",19.995,19.864,20.0499,19.8174,NA,NA,"0.70%"
"12/09/2020",19.856,19.7835,20.0089,19.6902,NA,NA,"0.46%"
"12/08/2020",19.765,19.8825,19.9226,19.6903,NA,NA,"-0.46%"
"12/07/2020",19.857,19.7725,19.9809,19.7619,NA,NA,"0.45%"
"12/04/2020",19.7682,19.8945,19.93,19.7295,NA,NA,"-0.56%"
"12/03/2020",19.879,19.97,20.0404,19.8501,NA,NA,"-0.41%"
"12/02/2020",19.96,20.025,20.1535,19.9525,NA,NA,"-0.29%"
"12/01/2020",20.019,20.1825,20.2115,19.9775,NA,NA,"-0.73%"
"11/30/2020",20.166,20.045,20.2233,20.0154,NA,NA,"0.70%"
"11/27/2020",20.0265,20.038,20.1102,19.958,NA,NA,"0.00%"
"11/26/2020",20.027,19.9635,20.0779,19.9272,NA,NA,"0.44%"
"11/25/2020",19.939,20.02,20.1091,19.9424,NA,NA,"-0.30%"
"11/24/2020",19.998,20.152,20.167,19.9813,NA,NA,"-0.81%"
"11/23/2020",20.162,20.114,20.216,19.9424,NA,NA,"0.32%"
"11/20/2020",20.0975,20.1945,20.2965,20.0465,NA,NA,"-0.40%"
"11/19/2020",20.179,20.3185,20.4402,20.1047,NA,NA,"-0.90%"
"11/18/2020",20.362,20.285,20.3765,20.1644,NA,NA,"0.27%"
"11/17/2020",20.307,20.2625,20.4455,20.2328,NA,NA,"0.30%"
"11/16/2020",20.246,20.3994,20.3994,20.1466,NA,NA,"-0.71%"
"11/13/2020",20.3917,20.649,20.6969,20.3611,NA,NA,"-1.17%"
"11/12/2020",20.633,20.4655,20.6891,20.4226,NA,NA,"0.83%"
"11/11/2020",20.464,20.3305,20.6178,20.2385,NA,NA,"0.74%"
"11/10/2020",20.313,20.338,20.4935,20.2663,NA,NA,"-0.07%"
"11/09/2020",20.328,20.551,20.5615,20.0236,NA,NA,"-1.05%"
"11/06/2020",20.544,20.707,20.8755,20.5089,NA,NA,"-0.61%"
"11/05/2020",20.67,20.9405,21.0535,20.619,NA,NA,"-1.11%"
"11/04/2020",20.901,21.125,21.995,20.8813,NA,NA,"-0.94%"
