"Date","Price","Open","High","Low","Vol.","Change %"
"03/09/2021","25.2095","25.4881","25.5518","25.1472","","-1.03%"
"03/08/2021","25.4731","25.4142","25.6810","25.3020","","0.35%"
"03/05/2021","25.3844","25.2842","25.5100","25.2067","","0.45%"
"03/04/2021","25.2698","25.2682","25.3342","24.9774","","0.07%"
"03/03/2021","25.2518","24.9214","25.3421","24.8363","","1.42%"
"03/02/2021","24.8985","24.8902","25.0235","24.8057","","0.09%"
"03/01/2021","24.8759","25.1901","25.2034","24.7918","","-1.18%"
"02/26/2021","25.1719","25.3895","25.5378","25.1665","","-0.78%"
"02/25/2021","25.3699","24.7880","25.6525","24.7724","","2.47%"
"02/24/2021","24.7586","24.9245","24.9508","24.7390","","-0.59%"
"02/23/2021","24.9055","25.2013","25.2630","24.8977","","-1.07%"
"02/22/2021","25.1758","24.7623","25.2935","24.7480","","1.72%"
"02/19/2021","24.7490","24.5548","24.8636","24.5350","","0.91%"
"02/18/2021","24.5253","24.3522","24.7306","24.2980","","0.83%"
"02/17/2021","24.3232","24.4005","24.5448","24.2528","","-0.27%"
"02/16/2021","24.3900","24.2146","24.5166","24.1952","","0.80%"
"02/15/2021","24.1954","24.1726","24.2376","24.1332","","0.18%"
"02/12/2021","24.1524","24.2157","24.3227","24.1275","","-0.19%"
"02/11/2021","24.1990","24.2893","24.3111","24.1469","","-0.24%"
"02/10/2021","24.2574","24.3568","24.4335","24.2500","","-0.28%"
"02/09/2021","24.3249","24.2290","24.4065","24.1913","","0.44%"
"02/08/2021","24.2177","24.1936","24.3637","24.1724","","0.17%"
"02/05/2021","24.1767","24.4006","24.4314","24.1450","","-0.78%"
"02/04/2021","24.3678","24.3046","24.5586","24.2124","","0.38%"
"02/03/2021","24.2766","24.2448","24.3549","24.1296","","0.23%"
"02/02/2021","24.2205","24.5764","24.6024","24.1678","","-1.38%"
"02/01/2021","24.5582","24.9999","25.0123","24.4911","","-1.70%"
"01/29/2021","24.9826","24.5459","25.0049","24.3965","","1.88%"
"01/28/2021","24.5227","24.5751","24.7491","24.4263","","-0.15%"
"01/27/2021","24.5590","24.3039","24.6138","24.2515","","1.19%"
"01/26/2021","24.2710","24.4165","24.5825","24.2528","","-0.53%"
"01/25/2021","24.3999","24.3001","24.5348","24.1681","","0.46%"
"01/22/2021","24.2890","23.9990","24.3622","23.9815","","1.30%"
"01/21/2021","23.9762","23.7295","24.0523","23.7024","","1.13%"
"01/20/2021","23.7093","23.8494","23.8850","23.6461","","-0.50%"
"01/19/2021","23.8276","23.7772","23.8981","23.7534","","0.31%"
"01/18/2021","23.7545","23.9223","24.1005","23.7314","","-0.53%"
"01/15/2021","23.8806","23.9664","24.0867","23.8253","","-0.31%"
"01/14/2021","23.9547","24.1366","24.1704","23.8848","","-0.68%"
"01/13/2021","24.1185","24.1659","24.2323","24.0019","","-0.06%"
"01/12/2021","24.1329","24.3922","24.4323","24.1328","","-0.97%"
"01/11/2021","24.3691","24.4570","24.6397","24.3296","","-0.31%"
"01/08/2021","24.4444","24.5625","24.6091","24.3807","","-0.39%"
"01/07/2021","24.5393","24.2185","24.6572","24.1323","","1.40%"
"01/06/2021","24.2001","24.4672","24.5553","24.1043","","-0.99%"
"01/05/2021","24.4420","24.4640","24.6752","24.2974","","0.01%"
"01/04/2021","24.4384","24.3305","24.4917","24.2317","","1.31%"
"01/01/2021","24.1223","24.2958","24.3158","24.1190","","-0.60%"
"12/31/2020","24.2685","24.4828","24.4935","24.2498","","-0.76%"
"12/30/2020","24.4548","24.3815","24.6453","24.3037","","0.39%"
"12/29/2020","24.3593","24.4536","24.5819","24.3246","","-0.29%"
"12/28/2020","24.4312","24.2601","24.6024","24.2192","","0.82%"
"12/25/2020","24.2324","24.2351","24.2836","24.1782","","0.15%"
"12/24/2020","24.1958","24.4529","24.4907","24.1584","","-0.96%"
"12/23/2020","24.4298","24.4957","24.5857","24.3967","","-0.21%"
"12/22/2020","24.4814","24.4293","24.6341","24.3710","","0.29%"
"12/21/2020","24.4098","24.4198","25.0844","24.3552","","-0.09%"
"12/18/2020","24.4310","24.3139","24.5126","24.2408","","0.62%"
"12/17/2020","24.2793","24.2132","24.3509","24.1364","","0.41%"
"12/16/2020","24.1793","24.1891","24.3838","24.1488","","0.06%"
"12/15/2020","24.1659","24.5807","24.6224","24.1699","","-1.68%"
"12/14/2020","24.5789","24.4251","24.6028","24.2891","","0.79%"
"12/11/2020","24.3854","24.2911","24.4920","24.2506","","0.49%"
"12/10/2020","24.2659","24.0007","24.3267","23.9597","","1.17%"
"12/09/2020","23.9860","23.9440","24.1367","23.8694","","0.29%"
"12/08/2020","23.9176","24.0777","24.1281","23.8327","","-0.51%"
"12/07/2020","24.0409","23.9811","24.1375","23.9507","","0.34%"
"12/04/2020","23.9587","24.1601","24.2170","23.9251","","-0.74%"
"12/03/2020","24.1371","24.1950","24.2815","24.0933","","-0.17%"
"12/02/2020","24.1775","24.1756","24.3064","24.1353","","0.06%"
"12/01/2020","24.1629","24.0777","24.2320","23.9979","","0.45%"
"11/30/2020","24.0540","23.9688","24.1383","23.9582","","0.41%"
"11/27/2020","23.9557","23.8683","24.0422","23.8040","","0.42%"
"11/26/2020","23.8562","23.7855","23.9181","23.7701","","0.43%"
"11/25/2020","23.7533","23.8067","23.9567","23.7673","","-0.09%"
"11/24/2020","23.7744","23.8892","24.5354","23.7341","","-0.41%"
"11/23/2020","23.8718","23.8431","23.9398","23.7229","","0.25%"
"11/20/2020","23.8117","23.9809","24.0972","23.7652","","-0.61%"
"11/19/2020","23.9585","24.1455","24.1856","23.8637","","-0.72%"
"11/18/2020","24.1330","24.1056","24.1544","23.9524","","0.19%"
"11/17/2020","24.0861","24.0151","24.2861","24.0035","","0.37%"
"11/16/2020","23.9976","24.1252","24.1596","23.8563","","-0.54%"
"11/13/2020","24.1275","24.3762","24.4300","24.0842","","-0.93%"
"11/12/2020","24.3552","24.1022","24.4245","24.0825","","1.06%"
"11/11/2020","24.1005","24.0103","24.2376","23.8660","","0.43%"
"11/10/2020","23.9978","24.0249","24.2246","23.9237","","-0.05%"
"11/09/2020","24.0106","24.4616","24.4823","23.8201","","-1.55%"
"11/06/2020","24.3898","24.4907","24.7754","24.3670","","-0.29%"
"11/05/2020","24.4606","24.5569","24.6713","24.3911","","-0.17%"
"11/04/2020","24.5022","24.7479","25.5439","24.4669","","-0.84%"
"11/03/2020","24.7102","24.8846","24.9643","24.5740","","-0.67%"
"11/02/2020","24.8775","24.7008","25.0146","24.6658","","0.89%"
"10/30/2020","24.6579","24.9701","25.1015","24.6513","","-1.22%"
"10/29/2020","24.9629","25.0062","25.1802","24.8333","","-0.13%"
"10/28/2020","24.9945","24.8172","25.0553","24.7484","","0.77%"
"10/27/2020","24.8037","24.7213","24.8479","24.6189","","0.44%"
"10/26/2020","24.6943","24.7613","24.9615","24.6996","","-0.21%"
"10/23/2020","24.7474","24.7705","24.8321","24.6913","","-0.03%"
"10/22/2020","24.7543","25.0352","25.1334","24.7467","","-1.06%"
"10/21/2020","25.0192","24.9699","25.0882","24.8889","","0.22%"
"10/20/2020","24.9651","24.9519","25.0825","24.8839","","0.14%"
"10/19/2020","24.9298","24.7588","25.0665","24.6453","","0.71%"
"10/16/2020","24.7543","24.9140","25.0338","24.7125","","-0.60%"
"10/15/2020","24.9032","25.0692","25.2355","24.8846","","-0.62%"
"10/14/2020","25.0577","25.0895","25.1984","24.9762","","-0.05%"
"10/13/2020","25.0699","25.0896","25.2297","24.9368","","-0.02%"
"10/12/2020","25.0743","24.9860","25.1371","24.9627","","0.32%"
"10/09/2020","24.9955","25.1396","25.1786","24.9743","","-0.53%"
"10/08/2020","25.1292","25.2612","25.2978","25.1178","","-0.40%"
"10/07/2020","25.2299","25.5039","25.5129","25.1563","","-0.99%"
"10/06/2020","25.4831","25.2135","25.5635","25.0570","","1.16%"
"10/05/2020","25.1913","25.3007","25.3510","25.1091","","-0.49%"
"10/02/2020","25.3143","25.6483","25.8736","25.2753","","-1.25%"
"10/01/2020","25.6355","25.9088","25.9625","25.5877","","-1.00%"
"09/30/2020","25.8956","26.4118","26.4580","25.8103","","-1.83%"
"09/29/2020","26.3772","26.1516","26.4266","25.9611","","0.97%"
"09/28/2020","26.1227","26.0067","26.4112","25.8444","","0.55%"
"09/25/2020","25.9801","25.8752","26.2111","25.6656","","0.50%"
"09/24/2020","25.8500","26.1003","26.4276","25.6290","","-0.94%"
"09/23/2020","26.0942","25.4543","26.1681","25.3604","","2.62%"
"09/22/2020","25.4289","25.1424","25.5135","25.0315","","1.22%"
"09/21/2020","25.1221","25.0360","25.4190","24.9632","","0.46%"
"09/18/2020","25.0083","24.7231","25.0466","24.6730","","1.24%"
"09/17/2020","24.7022","24.7474","24.9051","24.6940","","-0.09%"
"09/16/2020","24.7255","25.0693","25.0790","24.7318","","-1.27%"
"09/15/2020","25.0439","25.0299","25.0942","24.9005","","0.15%"
"09/14/2020","25.0064","25.1896","25.2228","24.9730","","-0.73%"
"09/11/2020","25.1899","25.3321","25.3820","25.1432","","-0.52%"
"09/10/2020","25.3223","25.2171","25.4101","25.2052","","0.49%"
"09/09/2020","25.1996","25.6520","25.8408","25.1898","","-1.65%"
"09/08/2020","25.6224","25.5536","25.8086","25.4947","","0.29%"
"09/07/2020","25.5478","25.5279","25.6140","25.4861","","0.09%"
"09/04/2020","25.5253","25.6646","25.7563","25.3851","","-0.43%"
"09/03/2020","25.6353","25.7562","25.8206","25.5112","","-0.38%"
"09/02/2020","25.7329","25.9592","26.0382","25.6891","","-0.84%"
"09/01/2020","25.9519","26.1308","26.2221","25.8703","","-0.62%"
"08/31/2020","26.1142","25.8920","26.2622","25.8842","","0.86%"
"08/28/2020","25.8918","26.1851","26.2516","25.8526","","-1.04%"
"08/27/2020","26.1644","25.9596","26.2397","25.8293","","0.86%"
